NodeA,NodeB,Weights
32,11734,0.0
32,11813,0.0
33,10063,1.0
33,812,1.0
33,4168,1.0
33,4931,1.0
33,5898,1.0
33,9306,1.0
33,5456,1.0
33,5242,0.0
33,1508,0.0
33,5417,0.0
34,5973,1.0
34,191,1.0
34,697,1.0
34,533,1.0
34,642,1.0
34,528,1.0
34,5152,1.0
34,12454,1.0
34,460,1.0
34,767,0.0
35,49,1.0
35,12526,1.0
35,614,1.0
35,118,1.0
35,924,1.0
35,12567,1.0
35,785,1.0
35,195,1.0
35,462,1.0
35,877,0.0
36,11599,1.0
36,11895,1.0
36,13126,1.0
36,10715,1.0
36,10352,1.0
36,13025,1.0
36,10420,1.0
36,12070,1.0
36,666,1.0
36,325,0.0
37,2359,1.0
37,4331,1.0
37,3378,1.0
37,1882,1.0
37,3444,1.0
37,824,1.0
37,2522,1.0
37,3638,1.0
37,1437,1.0
37,2582,0.0
38,12567,1.0
38,11941,1.0
38,12629,1.0
38,995,1.0
38,10322,1.0
38,565,1.0
38,49,1.0
38,11888,1.0
38,12803,0.0
38,12843,0.0
39,307,1.0
39,557,1.0
39,9472,1.0
39,10096,1.0
39,339,1.0
39,347,1.0
39,9489,1.0
39,81,1.0
39,371,1.0
39,9068,1.0
40,675,1.0
40,9221,1.0
40,8231,1.0
40,5366,1.0
40,5135,1.0
40,732,1.0
40,5486,1.0
40,4948,1.0
40,6864,1.0
40,4200,1.0
41,50,1.0
41,303,1.0
41,473,1.0
41,10178,1.0
41,132,1.0
41,9625,1.0
41,849,1.0
41,2182,1.0
41,5556,1.0
41,9263,0.0
42,1652,1.0
42,2822,1.0
42,2683,1.0
42,3464,1.0
42,3180,1.0
42,2386,1.0
42,2628,1.0
42,1250,1.0
42,3187,1.0
42,1226,1.0
43,807,1.0
43,608,1.0
43,966,1.0
43,839,1.0
43,347,1.0
43,81,1.0
43,919,1.0
43,239,1.0
43,258,1.0
43,103,1.0
44,806,1.0
44,984,1.0
44,31,1.0
44,386,1.0
44,10467,1.0
44,10274,1.0
44,688,1.0
44,10981,1.0
44,62,1.0
44,363,0.0
45,8045,1.0
45,9323,1.0
45,5682,1.0
45,7749,1.0
45,4270,1.0
45,8439,1.0
45,8440,1.0
45,6777,1.0
45,268,1.0
45,7532,0.0
46,261,1.0
46,831,1.0
46,282,1.0
46,13178,1.0
46,10650,1.0
46,10783,1.0
46,10349,1.0
46,74,1.0
46,12479,0.0
46,10929,0.0
47,494,1.0
47,2422,1.0
47,1033,1.0
47,99,1.0
47,885,1.0
47,8243,1.0
47,346,1.0
47,6943,1.0
47,483,1.0
47,1749,1.0
48,858,1.0
